commit,path,add,del,arch,subsys,topdir
82af83a1f4a5c974440cc0ff55267d34b33c5d2b,src/arch/arm/isa/formats/aarch64.isa,147.0,6.0,arm,arch,src
82af83a1f4a5c974440cc0ff55267d34b33c5d2b,src/arch/arm/isa/insts/fp64.isa,143.0,51.0,arm,arch,src
888f06dd286866acd7c68489399cf2bdae2ef853,src/python/gem5/simulate/exit_handler.py,5.0,1.0,,python,src
b9d4906125249ad9dbc7c4c929c3f4dfb2d348a5,src/mem/cache/base.cc,4.0,1.0,,mem/cache,src
87a9aea67215921ad69ff365816bc1cf993481ff,src/dev/reg_bank.hh,2.0,0.0,,dev,src
afe83fb616a76eb206b174121f16253b50ca4f9b,src/arch/amdgpu/common/dtype/mxfp_convert.hh,4.0,4.0,amdgpu,arch,src
afe83fb616a76eb206b174121f16253b50ca4f9b,src/arch/amdgpu/vega/insts/vop3_cvt.hh,38.0,39.0,amdgpu,arch,src
831c4990b7da5519f58267005a7b4a98bd0719d8,src/cpu/simple/probes/looppoint_analysis.cc,1.0,1.0,,cpu/simple,src
831c4990b7da5519f58267005a7b4a98bd0719d8,src/cpu/simple/probes/looppoint_analysis.hh,4.0,3.0,,cpu/simple,src
ee39a57b176603d82554efa046515577683d075d,src/systemc/tlm_bridge/gem5_to_tlm.cc,4.0,1.0,,src,src
87f1ff9751e2454e2285e0f00861e443f0dcbd66,src/arch/arm/ArmSystem.py,2.0,0.0,arm,arch,src
87f1ff9751e2454e2285e0f00861e443f0dcbd66,src/arch/arm/insts/fplib.cc,1552.0,461.0,arm,arch,src
87f1ff9751e2454e2285e0f00861e443f0dcbd66,src/arch/arm/insts/fplib.hh,158.0,140.0,arm,arch,src
87f1ff9751e2454e2285e0f00861e443f0dcbd66,src/arch/arm/isa.cc,21.0,0.0,arm,arch,src
87f1ff9751e2454e2285e0f00861e443f0dcbd66,src/arch/arm/isa/insts/neon64.isa,185.0,88.0,arm,arch,src
87f1ff9751e2454e2285e0f00861e443f0dcbd66,src/arch/arm/regs/misc.cc,1.0,0.0,arm,arch,src
87f1ff9751e2454e2285e0f00861e443f0dcbd66,src/arch/arm/regs/misc_types.hh,1.0,0.0,arm,arch,src
b2eeb9c68ad28e2d7c568fffcfb9d89fd9db8536,configs/{ => deprecated}/example/gem5_library/riscv-fs.py,0.0,0.0,,configs,configs
a06c50a27dcc31d10ac36e5ca8ff80ab0e45859b,.clang-format,2.0,1.0,,.clang-format,.clang-format
3388cd42866a9f3cb6557cd697e088664713f68b,src/python/gem5/simulate/simulator.py,53.0,0.0,,python,src
538a022b97143ac86b17055c8b9e18a3de567617,src/arch/riscv/pagetable_walker.cc,5.0,1.0,riscv,arch,src
d7d0a73e70412d93724d7bdc3376c4a1753c8427,include/gem5/hypercall_ids.h,42.0,0.0,,include,include
9bc48c873b2c63507e10031081a111bd3975bbce,src/sim/sim_exit.hh,1.0,0.0,,sim,src
a83f643dbbd0db7fa8fa026ee67dde80cfa7edd3,src/python/gem5/simulate/exit_handler.py,3.0,0.0,,python,src
0f3d003023f3ea1aadbbf240d882e5c26221bb6e,src/python/m5/SimObject.py,13.0,6.0,,python,src
0f3d003023f3ea1aadbbf240d882e5c26221bb6e,src/python/m5/params.py,8.0,2.0,,python,src
30999eb177d24b1da3ad7a060ca5c9000ebc7c7e,configs/common/ObjectList.py,3.0,4.0,,configs,configs
de76b7a2efd5a08106557244f5d24babb3751b19,src/python/SConscript,0.0,2.0,,python,src
de76b7a2efd5a08106557244f5d24babb3751b19,src/python/m5/internal/__init__.py,0.0,25.0,,python,src
de76b7a2efd5a08106557244f5d24babb3751b19,src/python/m5/internal/params.py,0.0,53.0,,python,src
f8d05ce80c15b3d366fef9410670d6a32f20519b,src/arch/amdgpu/vega/insts/instructions.hh,3.0,2.0,amdgpu,arch,src
250bba75f90f7947c35eec6be4dc81c9dda3573e,.vscode/settings.json,37.0,0.0,,.vscode,.vscode
5dc014d573711379ec4cbfdf38108f472ec6155d,src/arch/arm/insts/static_inst.cc,4.0,4.0,arm,arch,src
838342a7bc82a49f92e9ba323b183495819e2ee8,src/arch/arm/isa/operands.isa,14.0,17.0,arm,arch,src
355e3a88cece87f99999fde0a5144e6bb1e1013d,src/arch/arm/isa/formats/aarch64.isa,421.0,353.0,arm,arch,src
f6dfce5b9dfb7c0f3cda15dd1b542c295cf74ec2,.clang-format,1.0,1.0,,.clang-format,.clang-format
d6de40eb8bb97772b9b5ffa7411d9f3ab871da73,src/systemc/tests/SConscript,1.0,1.0,,src,src
5f930e8b8ae3b572ac3d2c7808e4c99d3c4c4f7f,src/systemc/core/event.cc,44.0,23.0,,src,src
5f930e8b8ae3b572ac3d2c7808e4c99d3c4c4f7f,src/systemc/core/event.hh,1.0,1.0,,src,src
5f930e8b8ae3b572ac3d2c7808e4c99d3c4c4f7f,src/systemc/core/object.cc,6.0,12.0,,src,src
5f930e8b8ae3b572ac3d2c7808e4c99d3c4c4f7f,src/systemc/core/object.hh,1.0,2.0,,src,src
5f930e8b8ae3b572ac3d2c7808e4c99d3c4c4f7f,src/systemc/core/sc_event.cc,1.0,3.0,,src,src
5f930e8b8ae3b572ac3d2c7808e4c99d3c4c4f7f,src/systemc/core/sc_module.cc,1.0,2.0,,src,src
16aac294dc94de0c60986527eb518b1f289873cd,src/systemc/core/event.cc,12.0,0.0,,src,src
16aac294dc94de0c60986527eb518b1f289873cd,src/systemc/core/object.cc,14.0,0.0,,src,src
16aac294dc94de0c60986527eb518b1f289873cd,src/systemc/core/object.hh,2.0,0.0,,src,src
083f1c1d3cc23ad66e01249e54589b64db70b8d9,src/systemc/core/sc_object.cc,0.0,7.0,,src,src
527cbfec462f86af3af895fde176800b8e99d8f6,src/systemc/core/sc_object.cc,3.0,4.0,,src,src
357519f981fee1f80d7c0bb150a208245d521c95,src/arch/arm/isa/insts/fp.isa,1.0,1.0,arm,arch,src
121eb2bbc497a680b97cbc26be4bcc1f43db240e,src/arch/riscv/pagetable_walker.cc,10.0,2.0,riscv,arch,src
23f4be207519b1b847414fd01b3d85d5cb45419f,configs/common/cores/arm/HPI.py,10.0,8.0,,configs,configs
23f4be207519b1b847414fd01b3d85d5cb45419f,configs/common/cores/arm/O3_ARM_v7a.py,7.0,5.0,,configs,configs
23f4be207519b1b847414fd01b3d85d5cb45419f,configs/common/cores/arm/ex5_big.py,7.0,5.0,,configs,configs
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/minor/BaseMinorCPU.py,4.0,1.0,,cpu/minor,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/o3/BaseO3CPU.py,4.0,1.0,,cpu/o3,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/2bit_local.cc,7.0,1.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/2bit_local.hh,5.0,2.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/BranchPredictor.py,24.0,6.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/SConscript,2.0,0.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/bi_mode.cc,1.0,1.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/bi_mode.hh,2.0,2.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/bpred_unit.cc,17.0,17.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/bpred_unit.hh,22.0,75.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/conditional.cc,65.0,0.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/conditional.hh,149.0,0.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/multiperspective_perceptron.cc,1.0,1.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/multiperspective_perceptron.hh,2.0,2.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/tage.cc,3.0,1.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/tage.hh,2.0,2.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/tournament.cc,1.0,1.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/cpu/pred/tournament.hh,2.0,2.0,,cpu/pred,src
23f4be207519b1b847414fd01b3d85d5cb45419f,src/python/gem5/prebuilt/riscvmatched/riscvmatched_core.py,10.0,8.0,,python,src
a56499a75d1e2d9b1e586b44dec0779f04c7bd82,src/base/filters/SConscript,2.0,0.0,,base,src
a56499a75d1e2d9b1e586b44dec0779f04c7bd82,src/base/filters/base.test.cc,394.0,0.0,,base,src
1fc38c9b2c4caee533bc2fb0620da19789d7c0d7,src/arch/riscv/isa.cc,1.0,8.0,riscv,arch,src
1fc38c9b2c4caee533bc2fb0620da19789d7c0d7,src/arch/riscv/regs/misc.hh,60.0,37.0,riscv,arch,src
c0dc383ff7d506bde9c3a9aaa9fd82ac02736781,src/cpu/pred/bpred_unit.cc,1.0,1.0,,cpu/pred,src
c0dc383ff7d506bde9c3a9aaa9fd82ac02736781,src/cpu/pred/bpred_unit.hh,1.0,1.0,,cpu/pred,src
a8cbbb52b5a8d9bc9c127189dbfe546f080f17b9,src/systemc/tlm_bridge/tlm_to_gem5.cc,9.0,0.0,,src,src
3a5cea0077312859e83f2d5a33211dfd50240008,tests/gem5/kvm_switch_tests/configs/boot_kvm_switch_exit.py,2.0,2.0,,tests,tests
618fbfbcff71fca18d5db06767c09c59b6a17d0d,tests/gem5/readfile_tests/README.md,11.0,0.0,,tests,tests
618fbfbcff71fca18d5db06767c09c59b6a17d0d,tests/gem5/readfile_tests/configs/test_script.sh,2.0,0.0,,tests,tests
618fbfbcff71fca18d5db06767c09c59b6a17d0d,tests/gem5/readfile_tests/configs/ubuntu-run-with-readfile.py,116.0,0.0,,tests,tests
618fbfbcff71fca18d5db06767c09c59b6a17d0d,tests/gem5/readfile_tests/test-readfile.py,72.0,0.0,,tests,tests
4f7550bc54d7f0c71c1add45655be10e1743c2d9,src/cpu/simple/probes/simpoint.cc,3.0,3.0,,cpu/simple,src
4f7550bc54d7f0c71c1add45655be10e1743c2d9,src/cpu/simple/probes/simpoint.hh,1.0,1.0,,cpu/simple,src
0525337c970f2c0cc2e0b1d6a2e4d12a475da868,src/cpu/o3/rename.cc,37.0,26.0,,cpu/o3,src
0525337c970f2c0cc2e0b1d6a2e4d12a475da868,src/cpu/o3/rename.hh,8.0,15.0,,cpu/o3,src
44e0b18fb411c476fded84b03c5a29b764b6cc74,requirements.txt,1.0,1.0,,requirements.txt,requirements.txt
6bd546c40936e0df67d189f2da94e7ada6fa58dc,src/mem/Bridge.py,11.0,3.0,,mem,src
6bd546c40936e0df67d189f2da94e7ada6fa58dc,src/mem/SConscript,1.0,1.0,,mem,src
6bd546c40936e0df67d189f2da94e7ada6fa58dc,src/mem/bridge.cc,50.0,38.0,,mem,src
6bd546c40936e0df67d189f2da94e7ada6fa58dc,src/mem/bridge.hh,56.0,17.0,,mem,src
6bdff4fe6b64eea55af4dbaeb5fb4e41e3137150,src/cpu/o3/commit.cc,4.0,3.0,,cpu/o3,src
a3159398311fb0fb2a65a11cca666a05cc279ccc,src/arch/riscv/interrupts.cc,13.0,77.0,riscv,arch,src
be8708d4d1a49f8a66e2e3b0bff841938055659b,src/cpu/o3/decode.cc,32.0,20.0,,cpu/o3,src
